publikacija_id,autor_id
167187,12325
167189,2893
167193,1304
167200,7027
167212,785
167222,12326
167228,1203
167232,1610
167238,813
167259,2520
167285,12327
167289,1193
167289,12328
167293,1058
167300,12329
167306,98
167312,6951
167321,5269
167326,6822
167332,12330
167338,12331
167360,12332
167361,12333
167362,1635
167365,552
167366,12334
167371,2858
167371,2859
167376,6483
167381,663
167382,12335
167398,1765
167399,25
167400,2323
167418,275
167421,12336
167437,11946
167441,556
167455,1765
167458,12337
167476,4179
167484,817
167487,12338
167487,12339
167487,12340
167487,12341
167494,631
167498,409
167511,12342
167518,12343
167526,10425
167534,12344
167534,12345
167535,132
167537,11963
167539,12346
167543,7622
167547,12347
167557,12348
167562,396
167567,10026
167574,7147
167578,2710
167580,9719
167582,544
167584,10767
167584,10768
167596,721
167598,12349
167605,1856
167609,4672
167609,9776
167611,12350
167624,162
167637,733
167639,191
167641,3964
167642,383
167643,482
167648,111
167666,12351
167667,1981
167669,1610
167674,3730
167678,862
167691,12352
167702,315
167714,927
167728,12353
167734,12354
167734,12355
167744,947
167757,679
167764,3083
167780,1951
167786,3928
167787,599
167787,1516
167794,1588
167814,1291
167815,4056
167819,39
167849,2307
167851,12356
167856,1390
167863,340
167867,919
167876,3262
167885,1189
167888,12357
167891,1702
167891,1851
167891,1852
167891,1853
167891,1854
167891,1855
167891,3088
167891,3532
167891,3533
167891,4328
167891,4712
167891,5012
167891,7758
167891,12358
167891,12359
